HelmName,SailNo,Class,RaceNo,Elapsed,Code
Nick Reid,31357,ILCA 7,1,0:27:50,
Alex Drysdale,1759,ILCA 7,2,0:28:51,
Mark Thompson,145572,ILCA 6,1,0:30:22,
Martin Outram,123381,ILCA 7,4,0:00:00,DNC
Nick Reid,31357,ILCA 7,4,0:24:31,
Jack Dudley,198112,ILCA 7,1,0:30:16,
Jeanie Borsboom,1073,ILCA 7,3,0:00:00,DNC
Jeanie Borsboom,1073,ILCA 7,4,0:00:00,DNC
Chris Maurice,136697,ILCA 7,3,0:27:02,
Kevin Li,136740,ILCA 7,4,0:00:00,DNC
Kevin Li,136740,ILCA 7,2,0:27:54,
Jeanie Borsboom,1073,ILCA 7,1,0:00:00,DNC
Martin Outram,123381,ILCA 7,1,0:28:28,
Alex Drysdale,1759,ILCA 7,4,0:00:00,DNC
Sophie Borsboom,159764,ILCA 6,2,0:27:20,
Tim Prickett,86,ILCA 6,2,0:25:23,
Martin Outram,123381,ILCA 7,3,0:23:45,
Jack Dudley,198112,ILCA 7,2,0:24:02,
Sophie Borsboom,159764,ILCA 6,3,0:00:00,DNC
Tim Prickett,86,ILCA 6,3,0:23:53,
Tom Berliner,797,ILCA 7,3,0:25:29,
Richard Ineson,150010,ILCA 7,2,0:23:48,
Gerard Brennan,131870,ILCA 6,3,0:24:50,
Tom Berliner,797,ILCA 7,4,0:00:00,DNC
Gerard Brennan,131870,ILCA 6,2,0:25:27,
William Buick,123384,ILCA 7,2,0:24:31,
Chris Maurice,136697,ILCA 7,2,0:00:00,DNF
William Buick,123384,ILCA 7,1,0:29:24,
William Buick,123384,ILCA 7,3,0:25:25,
Andrew Robinson,136656,ILCA 6,1,0:27:25,
Alex Drysdale,1759,ILCA 6,3,0:00:00,DNC
Andrew Robinson,136656,ILCA 6,2,0:23:46,
Jack Dudley,198112,ILCA 7,4,0:23:56,
Richard Ineson,150010,ILCA 7,3,0:00:00,DNC
Sophie Borsboom,159764,ILCA 6,1,0:00:00,DNC
Mark Thompson,145572,ILCA 6,4,0:00:00,DNC
Nick Reid,31357,ILCA 7,2,0:23:36,
Richard Ineson,150010,ILCA 7,1,0:27:24,
Andrew Robinson,136656,ILCA 6,3,0:23:35,
Mark Thompson,145572,ILCA 6,2,0:26:14,
Tim Prickett,86,ILCA 6,1,0:29:22,
Jeanie Borsboom,1073,ILCA 6,2,0:00:00,DNC
Tom Berliner,797,ILCA 7,2,0:00:00,DNF
Kevin Li,136740,ILCA 7,1,0:31:21,
Jack Dudley,198112,ILCA 7,3,0:23:38,
Mark Thompson,145572,ILCA 6,3,0:26:22,
Martin Outram,123381,ILCA 7,2,0:24:36,
Tim Prickett,86,ILCA 6,4,0:24:51,
Sophie Borsboom,159764,ILCA 6,4,0:25:21,
Chris Maurice,136697,ILCA 7,4,0:25:17,
Andrew Robinson,136656,ILCA 6,4,0:22:47,
Gerard Brennan,131870,ILCA 6,4,0:25:11,
Tom Berliner,797,ILCA 7,1,0:31:13,
William Buick,123384,ILCA 7,4,0:23:01,
Gerard Brennan,131870,ILCA 6,1,0:31:51,
Nick Reid,31357,ILCA 7,3,0:23:48,
Kevin Li,136740,ILCA 7,3,0:00:00,DNC
Alex Drysdale,1759,ILCA 7,1,0:00:00,DNC
Richard Ineson,150010,ILCA 7,4,0:00:00,DNC
Chris Maurice,136697,ILCA 7,1,0:28:55,
